date,tournament_type,home_team,away_team,home_score,away_score,home_elo_before,away_elo_before,home_elo_after,away_elo_after
1967-01-29,Copa América,URUGUAY,PARAGUAY,2,0,1404.0640663160666,1295.0162426087804,1417.8458757975416,1285.8283696211304
1967-01-31,Friendly,NIGER,CONGO,1,3,778.522167476872,906.044729138756,772.8144824497388,914.6062566794559
1967-02-01,UEFA Euro qualification,TURKEY,SPAIN,0,0,1123.974790976597,1405.2063871452615,1136.0219483521562,1397.1749488948888
1967-02-01,Copa América,VENEZUELA,PARAGUAY,3,5,874.1195804530406,1285.8283696211304,871.862638898449,1289.2137819530178
1967-02-01,Copa América,BOLIVIA,CHILE,0,0,1169.8679815675287,1334.7698322447113,1177.8227069924737,1329.4666819614147
1967-02-02,Copa América,URUGUAY,ARGENTINA,1,0,1417.8458757975416,1553.5487155813296,1443.7741002301057,1536.263232626287
1967-02-03,Friendly,MALI,CONGO,1,0,894.8843574136775,914.6062566794559,908.1988189877629,905.7299489633989
1967-02-05,African Cup of Nations qualification,MALI,ALGERIA,0,3,908.1988189877629,866.7645457324812,892.7608245387576,889.9215374059893
1967-02-05,African Cup of Nations qualification,TUNISIA,CAMEROON,4,0,976.9982954770497,898.8658167994002,993.821076882721,887.6506291956194
1967-02-09,CONCACAF Championship qualification,NICARAGUA,PANAMA,3,1,673.1187068510891,858.8611768430221,702.5988665880961,839.2077370183507
1967-02-12,African Cup of Nations qualification,BURKINA FASO,ALGERIA,1,2,802.0178004856439,889.9215374059893,792.5393682479109,904.1391857625887
1967-02-12,Friendly,GHANA,NIGERIA,2,0,1122.7683945000483,895.1057137150133,1128.3756985003213,891.3675110481646
1967-02-12,Friendly,IRAQ,GERMAN DR,1,1,922.6204195896661,1262.387417231656,931.6464303777065,1256.3700767062958
1967-02-12,CONCACAF Championship qualification,GUATEMALA,PANAMA,3,1,1023.4519195409449,839.2077370183507,1033.6368736056434,832.4177676418851
1967-02-14,CONCACAF Championship qualification,GUATEMALA,NICARAGUA,3,1,1033.6368736056434,702.5988665880961,1038.764086797754,699.1807244600224
1967-02-15,Friendly,GREECE,LIBYA,4,0,1023.1345628457091,896.5359925313644,1032.508009749455,890.2870279288671
1967-02-18,Friendly,TOGO,DR CONGO,2,4,824.8924693035048,908.0664569561286,818.1597939635512,918.1654699660589
1967-02-19,African Cup of Nations qualification,TUNISIA,CONGO,1,1,993.821076882721,905.7299489633989,990.8420810073272,910.1984427764895
1967-02-19,Friendly,GHANA,IVORY COAST,2,2,1128.3756985003213,979.5351554369432,1125.143848715434,984.3829301142744
1967-02-19,Friendly,ETHIOPIA,KENYA,2,0,969.2979416456615,977.5855031089793,982.8127483960528,968.5756319420518
1967-02-21,Friendly,SUDAN,TANZANIA,1,0,961.4986053750557,870.1392455300664,970.85970175285,863.8985146115369
1967-02-22,Friendly,GERMANY,MOROCCO,5,1,1575.7792755488672,950.2498165769579,1576.5446451130304,949.7395702008491
1967-02-22,UEFA Euro qualification,TURKEY,REPUBLIC OF IRELAND,2,1,1136.0219483521562,1252.1756160544173,1161.0152055212927,1235.5134446083264
1967-02-23,Friendly,KENYA,TANZANIA,2,0,968.5756319420518,863.8985146115369,977.9147891750845,857.6724097895152
